sort, nth_element, max_element, max_element_ben_deane, accumulate, transform_reduce
5935.89,2677.61,14064.3,12428.1,5321.69,10470.5
5646.37,3170.22,18650.6,12276.2,4973.54,10546.5
5462.6,2462.74,14950.2,12285.8,5426.69,10379.3
5055.76,7791.1,13149,16695.7,5528.65,10933.9
4964.48,9704.77,14506.8,14277.9,5587.68,10417.7
4971.92,6587.65,12779,12351.6,5453.2,10754.6
4887.9,2282.82,14433.6,12699.6,5476.06,10351.4
4849.89,6467.66,14156,12371.7,5301.62,10548.8
4870.67,6335.77,12698.1,13177.6,5114.31,10528.4
4734.96,5328.24,18040.4,12433,5135.52,10688.2
5252.05,7057.43,14075.4,13606,5464.02,11069.5
4601.89,5457.19,14359.4,16272,5460.24,11131.3
4986.09,5742.14,14513.1,12428.3,5329.17,10934.4
4590.08,7268.14,12724,12297.1,5488.08,11285.6
4769.63,3752.11,12738.7,12675.8,5568.49,11362.7
5495.25,4638.57,14140.9,12205.4,5505.76,11575.2
5619.22,6782.32,14845.9,12210.6,5537.22,10609.6
5912.36,3862.45,17947.9,12049.3,5589.08,12587.4
6106.57,6936.61,12568.7,13197.6,5313.22,11560.3
6272.02,6374.61,12934.2,16556.4,5378.72,11171.6
5324.54,2789.62,14700.1,12345,9406.33,11241.5
5285.98,3268.94,14433.7,12070.8,5453.49,11381.6
5095.45,5543.5,14257.5,14234.5,5118.36,11605.7
5024.29,6431.7,13762.5,12401.9,5104.49,11042.4
5015.69,5393.01,13379.5,11980.7,5260.53,11278.6
4930.68,5258.41,17472.5,12542.8,5479.17,10617.7
4861.88,3488.12,15756,12484.1,5424.79,10452
5017.72,5256.56,12527.8,16927,5298.58,10734.8
5034.58,4894.09,12902.1,12003.7,5557.71,10711
5035.57,5949.45,14875.1,12293.3,5489.07,10982.8
4982.21,6732.59,15192.2,17430.6,5462.41,10694.3
8044.87,5846.09,13325.5,12399.5,5498.78,10719.9
4345.04,8066.42,12738.7,12520.6,5495.84,11164.1
4579.09,2650.91,19553.9,12278.1,5021.63,10662.8
4391.05,2930.2,13812,12290.7,5448.78,10498.1
4409.67,6896.23,14492.1,16740.2,5482.43,10711.7
4707.24,3182.27,14385.9,12386.9,5416.42,10988.4
4527.67,3404.75,13005.4,12353.9,5034.71,13176.5
4950.52,4583.17,14582.8,12349.4,5481.76,11103.8
5815.85,6141.08,12591.2,12354.7,5440.49,10620.3
4870.87,6784.27,14814.1,12104,5413.95,10742.9
4843.45,4565.54,16860.6,12432.6,4879.03,10995.8
4743.11,2904.26,13115.3,12356.9,4954.72,11125.9
4736.1,4783.58,12567.2,16529.4,5535.6,10575.1
4755.32,5930.63,13238.2,12357.6,5306.3,10494.9
4920.16,6015.33,14673.8,12348.4,5359.78,12047.6
4958.47,2062.93,15482.1,12196.7,5393.27,11330.4
5140.12,6257.12,14736.3,12785.2,5331.03,11205.2
4690.61,3984.24,15174.2,12366,5415.45,10660
4482.28,2981.88,17400.7,12892.7,5374.26,10972.6
4653.04,8211.17,14623.2,12522.3,5318.35,10648.8
4711.11,5233.84,13304.9,16394.7,5463.36,10931.5
4611.22,4815.86,13406.3,12334.5,5572.29,10826.1
4677.32,6418.63,13503.1,12598.1,5053.21,11382.8
4640.59,2803.66,13359.9,12058.7,5145.77,10941.8
4637.16,2979.43,14294.7,13384.8,5184.34,10946.9
4593.4,4285.82,14365.3,12210.9,5427.14,11468.8
4552.42,5791.4,18878.6,12322.9,5003.52,11849.5
5522.54,4958.74,13053.9,12458.3,5388.16,10660.4
6004.42,7455.99,14060.7,16611,5338.63,10579.2
